,0
0,36187
1,128343
2,237101
3,34539
4,135621
5,73213
6,319026
7,754
8,212551
9,160693
10,175990
11,333786
12,161688
13,290290
14,103164
15,4695
16,209387
17,95278
18,75768
19,27473
20,304669
21,260229
22,3419
23,288149
24,142356
25,87214
26,88200
27,21273
28,96601
29,176907
30,66530
31,343763
32,68845
33,50861
34,325350
35,258111
36,55379
37,254130
38,280041
39,333092
40,197342
41,182946
42,284507
43,45172
44,195828
45,64851
46,88919
47,332663
48,272345
49,287327
50,129400
51,14932
52,332430
53,238256
54,329420
55,160231
56,323407
57,334847
58,60638
59,129559
60,349311
61,209737
62,205756
63,189590
64,126814
65,290868
66,164859
67,28231
68,216621
69,225024
70,271181
71,111272
72,263183
73,318681
74,129156
75,15358
76,33347
77,222485
78,245576
79,3506
80,279847
81,93093
82,309582
83,335006
84,274139
85,238996
86,148855
87,220868
88,132172
89,201375
90,105145
91,22966
92,253381
93,77415
94,273380
95,70146
96,69979
97,231675
98,235002
99,156705
100,25683
101,41297
102,303554
103,15232
104,169862
105,336967
106,243942
107,233834
108,234109
109,354806
110,128945
111,159631
112,225088
113,23725
114,321742
115,252702
116,284662
117,173632
118,236074
119,59056
120,134964
121,200229
122,351388
123,341508
124,283288
125,70918
126,6034
127,235677
128,284324
129,35826
130,176782
131,310313
132,80271
133,299171
134,91773
135,296773
136,298958
137,131718
138,93649
139,196104
140,343981
141,283494
142,139472
143,299234
144,205078
145,167619
146,126468
147,317078
148,5325
149,144095
150,267199
151,318661
152,257615
153,283986
154,105094
155,45037
156,142922
157,251775
158,109484
159,339651
160,94541
161,35081
162,5198
163,353450
164,27122
165,195047
166,325943
167,213306
168,261061
169,29768
170,120974
171,183115
172,203301
173,119436
174,198879
175,141269
176,132995
177,279036
178,197421
179,53749
180,132051
181,191994
182,49253
183,326503
184,105757
185,334888
186,222987
187,100214
188,90902
189,275683
190,265308
191,267336
192,261679
193,253380
194,254514
195,292387
196,65904
197,259575
198,126172
199,190595
200,67616
201,270714
202,89521
203,105956
204,23844
205,294121
206,245860
207,72621
208,16882
209,17884
210,149049
211,255758
212,328915
213,178707
214,323063
215,303195
216,185377
217,220973
218,156772
219,104412
220,12326
221,242973
222,234141
223,142195
224,5770
225,96024
226,200686
227,83233
228,185111
229,8292
230,252395
231,34866
232,310747
233,44583
234,273772
235,39560
236,344124
237,141128
238,66469
239,338499
240,222293
241,304805
242,97498
243,129136
244,11140
245,233952
246,248821
247,154536
248,162872
249,346474
250,352749
251,279871
252,134451
253,267062
254,350156
255,220636
256,84798
257,34603
258,62026
259,269281
260,355431
261,112780
262,183352
263,340255
264,309147
265,89445
266,229505
267,23709
268,196591
269,314499
270,323251
271,99437
272,174208
273,191197
274,193399
275,160889
276,335811
277,15749
278,290536
279,188770
280,195423
281,295332
282,68544
283,224
284,85670
285,112745
286,202396
287,297190
288,51974
289,112857
290,299435
291,49382
292,318418
293,328620
294,83345
295,139329
296,78874
297,33229
298,318445
299,234694
300,352062
301,81283
302,157732
303,113883
304,334294
305,313086
306,276855
307,93734
308,195295
309,135387
310,45640
311,95943
312,181044
313,86672
314,317240
315,100777
316,10729
317,113688
318,252431
319,130556
320,13030
321,181946
322,184841
323,146867
324,235293
325,98656
326,173717
327,191573
328,15726
329,187148
330,33479
331,220713
332,184773
333,25518
334,109420
335,141620
336,103332
337,62357
338,28287
339,144827
340,2259
341,252860
342,125072
343,146797
344,150513
345,333811
346,129865
347,251286
348,73138
349,295228
350,342455
351,73496
352,35386
353,350683
354,16732
355,236107
356,27386
357,67394
358,239918
359,296589
360,138422
361,95721
362,106723
363,259311
364,29143
365,175567
366,85863
367,177571
368,8912
369,55737
370,227606
371,250412
372,246734
373,113558
374,50542
375,2378
376,41560
377,249073
378,77547
379,76611
380,17274
381,68837
382,186977
383,121467
384,344781
385,131943
386,123017
387,323477
388,264439
389,326517
390,255775
391,295441
392,77796
393,335104
394,155051
395,59448
396,180653
397,185891
398,285287
399,97206
400,261682
401,256171
402,316416
403,85453
404,301680
405,229109
406,270072
407,350810
408,212851
409,145355
410,185864
411,59347
412,54849
413,99822
414,286974
415,248627
416,53428
417,307028
418,352078
419,108560
420,44785
421,173700
422,43627
423,64748
424,150493
425,87522
426,188417
427,344036
428,44206
429,273586
430,78170
431,272949
432,304242
433,232681
434,44910
435,228052
436,135121
437,62104
438,118533
439,216512
440,70114
441,311744
442,66434
443,265419
444,24473
445,149308
446,291738
447,256205
448,76454
449,234989
450,32658
451,339226
452,302629
453,38289
454,44738
455,84603
456,111262
457,20682
458,354658
459,3856
460,307386
461,23012
462,98632
463,351658
464,65734
465,215349
466,105290
467,261944
468,314376
469,188581
470,223945
471,174767
472,305391
473,131671
474,199373
475,43357
476,333234
477,38976
478,79287
479,133772
480,195741
481,301499
482,212224
483,149565
484,102169
485,63184
486,148692
487,94008
488,82829
489,139868
490,241338
491,286251
492,65878
493,353879
494,302706
495,213576
496,158739
497,93950
498,290852
499,314096
500,259881
501,100183
502,337944
503,1717
504,66762
505,109625
506,190716
507,276511
508,127846
509,333614
510,307742
511,5694
512,198786
513,48164
514,94628
515,139752
